Digi-Key Part No.,Manufacturer Name,Mfr Part No.,Customer Reference,Qty1,Qty2,Qty3
490-4736-1-ND,MURATA,GRM21BR71H105KA12L,"C1, C5, C8, C21, C25, C26, C32, C33, C34, C54, C55",110,,
490-3886-1-ND,MURATA,GRM21BR61C106KE15L,"C2, C17, C24",30,,
478-1395-1-ND,AVX,08055C104KAT2A,"C3, C4, C6, C7, C9, C10, C12, C13, C14, C15, C16, C18, C19, C20, C22, C23, C28, C30, C31, C35, C40, C41, C43, C44, C45, C46, C47, C48, C49, C50, C51, C52, C53, C56, C57, C58, C59, C60, C61, C62",400,,
PCE3629CT-ND,PANASONIC,EEV-TG1C471Q,C11,10,,
399-3824-1-ND,KEMET,T494A106M016AT,"C27, C29, C36, C42",40,,
PCE3836CT-ND,PANASONIC,EEE-FK1V101XP,"C37, C38, C39",30,,
F2715CT-ND,LITTLEFUSE,SP0503BAHTG,"D1, D2",20,,
SL43-E3/57TGICT-ND,Vishay/Dale,SL43-E3/57T,"D3, D4, D5",30,,
SMCJ30ALFCT-ND,LITTLEFUSE,SMCJ30A,"D6, D7",20,,
SMCJ7.0ALFCT-ND,LITTLEFUSE,SMCJ7.0A,D8,10,,
SMCJ5.0ALFCT-ND,LITTLEFUSE,SMCJ5.0A,D9,10,,
RUEF400-ND,TYCO,RUEF400,F1,10,,
NANOSMDC020FCT-ND,TYCO,NANOSMDC020F-2,F2,10,,
240-2389-1-ND,STEWARD,MI0805K400R-10,"FER1, FER2",20,,
445-2211-1-ND,TDK,ACM1513-551-2PL-TL,FER3,10,,
609-1039-ND,FCI,61729-0010BLF,J1,10
A35118-ND,TYCO,1734530-3,J2,10
732-1646-ND,WURTH,7498011002,J3,10
Z2664-ND,OMRON,G6SK-2 DC24,K1,10
490-2510-1-ND,MURATA,LQH32MN271J23L,"L1, L3",20
445-1533-1-ND,TDK,NLV32T-471J-PF,L2,10
277-1231-ND,Phoenix,"MCV 1,5/12-G-3,81",P1,10
609-2593-ND,FCI,57102-G06-10LF,P2,10
609-2596-ND,FCI,57102-G06-07LF,P6,10
ZXMN3B01FCT-ND,ZETEX,ZXMN3B01FTA,"Q1, Q2, Q3, Q5, Q6, Q8, Q9, Q10",80
NJT4031NT1GOSCT-ND,ON Semi,NJT4031NT1G,Q4,10
541-10KCCT-ND,Vishay/Dale,CRCW080510KFKEA,"R1, R2",20
541-4.7KCCT-ND,Vishay/Dale,CRCW08054.7KFKEA,"R3, R6",20
541-10.0KCCT-ND,Vishay/Dale,CRCW080510.0KFKEA,"R4, R7, R15, R16",40
541-100KCCT-ND,Vishay/Dale,CRCW0805100KFKEA,"R5, R12, R14",30
541-1R10CCT-ND,Vishay/Dale,CRCW08051R10FKEA,"R8, R10",20
541-1R85CCT-ND,Vishay/Dale,CRCW08051R85FKEA,R9,10
541-2.00KCCT-ND,DALE,CRCW08052.00KFKEA,R11,10
541-10R0CCT-ND,Vishay/Dale,CRCW080510R0FKEA,R13,10
541-4.99KCCT-ND,Vishay/Dale,CRCW08054.99KFKEA,"R17, R20, R23, R25, R27, R28",60
541-4.75KCCT-ND,Vishay/Dale,CRCW08054.75KFKEA,"R18, R19, R21, R22, R24, R26",60
541-330KCCT-ND,Vishay/Dale,CRCW0805330KFKEA,"R29, R30, R31",30
SW1020CT-ND,OMRON,B3U-1000P,S1,10
CKN6114-ND,C&K,SD03H0SB,S2,10
5015KCT-ND,Keystone,5015,"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP20, TP21, TP22, TP23, TP24, TP25, TP26, TP27, TP28, TP29, TP30, TP31, TP32, TP33, TP34, TP35, TP36, TP37, TP38, TP39, TP40, TP41, TP42, TP43",430
122-1282-ND,XILINX,XCR3128XL-10VQ100C,U1,10
336-1160-ND,SILICON LABS,CP2102-GM,U2,10
TLE5206-2IN-ND,INFINEON,TLE5206-2,U4,10
ADP3338AKCZ-3.3RL7CT-ND,ANALOG DEVICES,ADP3338AKCZ-3.3RL7,U10,10
PT78ST105S-ND,TEXAS INSTRUMENTS,PT78ST105S,U11,10
REF02AU-ND,BurrBrown,REF02AU,U12,10
CTX694CT-ND,CTS,636L3C020M00000,U14,10
PS2811-4A-ND,NEC,PS2811-4-A,"U15, U16",20
,,,,
,,,,
,,,,
,,,,
,,,,
